names,SMILES,m,sigma,epsilon_k,mu,kappa_ab,epsilon_k_ab
"2,4-dimethylphenol",Cc1ccc(O)c(C)c1,3.707072735,3.753621817,300.9802246,0,0.003463903,2388.856445
"3,5-dimethylphenol",Cc1cc(C)cc(O)c1,3.903725624,3.594012022,302.5597839,0,0.003554336,2509.5354
2-methylprop-2-enenitrile,C=C(C)C#N,2.982298374,3.29549551,256.4850769,2.722588062,0,0
"propane-1,2-diol",CC(O)CO,3.674771309,3.071256161,304.7738342,0,0.004870963,2178.879883
thiophene,c1ccsc1,2.961617231,3.300264359,264.322876,0,0,0
1-methylpyrrolidin-2-one,CN1CCCC1=O,3.916621208,3.269924641,294.9938354,2.811155796,0,0
pentan-3-one,CCC(=O)CC,3.197343826,3.518541336,253.8457794,2.709666491,0,0
hexan-3-one,CCCC(=O)CC,3.438705921,3.6715734,256.7734375,2.876183033,0,0
heptan-4-one,CCCC(=O)CCC,3.702874184,3.751166344,259.9889832,3.036067963,0,0
butyl formate,CCCCOC=O,3.336534977,3.573687315,251.4578705,2.635508537,0,0
2-methylfuran,Cc1ccco1,2.811022282,3.489810944,258.4676514,0,0,0
3-methylbutanal,CC(C)CC=O,3.107456207,3.574820042,251.0834961,2.612721205,0,0
methyl formate,COC=O,2.553082705,3.136496544,242.0992432,1.836540818,0,0
n-methylacetamide,CN=C(C)O,3.814748049,3.105147362,295.9727478,0,0.003945559,2588.097412
2-methyloxolane,CC1CCCO1,2.950408936,3.55250001,250.8720398,2.334051847,0,0
2-chloroacetic acid,O=C(O)CCl,3.780301571,2.886481762,303.7689209,0,0.003900886,2256.564941
hexan-1-ol,CCCCCCO,3.488147736,3.696358204,264.3297424,0,0.003982067,2622.080322
"1,2,3,4,5,6-hexafluorobenzene",Fc1c(F)c(F)c(F)c(F)c1F,3.699799061,3.38244915,225.3786621,0,0,0
prop-2-enoic acid,C=CC(=O)O,3.0238204,3.276986122,294.9710388,0,0.004329677,2083.413818
cyclohexanamine,NC1CCCCC1,3.255487204,3.882330418,268.6303711,0,0.0027492,1624.826782
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-hexadecafluoroheptane",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.259735107,4.061679363,200.2459717,0,0,0
"2,3-dimethylpentane",CCC(C)C(C)C,3.173689365,3.951740503,243.8975372,0,0,0
"1,1,2,2,3,3,4,4,4-nonafluoro-n,n-bis(1,1,2,2,3,3,4,4,4-nonafluorobutyl)butan-1-amine",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.072103024,4.548882484,225.4732513,0,0,0
2-methylpropanoic acid,CC(C)C(=O)O,3.218672037,3.453712463,291.658905,0,0.004111904,2212.54541
"2-methylpentane-2,4-diol",CC(O)CC(C)(C)O,3.806331635,3.585517406,287.1775513,0,0.004125645,2588.5354
methyl benzoate,COC(=O)c1ccccc1,4.036518097,3.509699821,285.0140381,3.092284441,0,0
"dimethyl benzene-1,3-dicarboxylate",COC(=O)c1cccc(C(=O)OC)c1,5.213456154,3.441128731,297.2064819,2.759507895,0,0
butanal,CCCC=O,2.945524693,3.43133688,246.9810028,2.479747295,0,0
"cyclopenta-1,3-diene",C1=CCC=C1,2.590616941,3.530501842,245.9152527,0,0,0
"1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",C1CC[C@H]2CCCC[C@H]2C1,4.083970547,3.745434523,275.4407959,0,0,16.67707634
2-methylpropane,CC(C)C,2.179536581,3.778271437,222.2672424,0,0,0
butyl prop-2-enoate,C=CC(=O)OCCCC,3.719828129,3.687639713,259.6092529,2.845665932,0,0
ethyl prop-2-enoate,C=CC(=O)OCC,3.241271019,3.540543556,251.0355072,2.525672197,0,0
"2-bromo-2-chloro-1,1,1-trifluoroethane",FC(F)(F)C(Cl)Br,3.053650379,3.48300004,226.2930756,1.937384367,0,0
ethanamine,CCN,2.386091232,3.211293459,239.8872681,0,0.003301277,1199.135986
chloroethane,CCCl,2.355417013,3.366780281,232.2039185,1.935779095,0,0
"1,2-xylene",Cc1ccccc1C,3.4486413,3.646957636,275.7933044,0,0,0
2-butoxyethyl acetate,CCCCOCCOC(C)=O,4.392097473,3.736292124,265.7637634,3.00987792,0,0
pentanoic acid,CCCCC(=O)O,3.640161991,3.548361778,292.7457581,0,0.003845054,2454.717529
n-methylaniline,CNc1ccccc1,3.601350784,3.563472033,302.276062,0,0.003472666,2023.146606
propanenitrile,CCC#N,2.918254375,3.212031126,262.7402344,2.689843416,0,0
non-1-ene,C=CCCCCCCC,3.996376514,3.860728502,251.5814819,0,0,0
2-chloropropane,CC(C)Cl,2.549552917,3.530930281,237.2747498,2.083699226,0,0
3-chloroprop-1-ene,C=CCCl,2.650478601,3.442306995,241.9266357,2.05284214,0,0
furan,c1ccoc1,2.540129185,3.325567245,246.2049561,0,0,0
1-chloropropane,CCCCl,2.660370827,3.471647263,241.8799286,2.153879404,0,0
n-butylbutan-1-amine,CCCCNCCCC,3.391273975,4.128762245,275.9458313,0,0.002836822,1775.47644
1-ethoxypropane,CCCOCC,2.939338684,3.760145903,235.8835754,2.326488495,0,0
1-propoxypropane,CCCOCCC,3.233397484,3.806926012,240.5726776,2.503120661,0,0
