main_group,main_group_id,subgroup,subgroup_id,R,Q,IL_R,IL_Q,bonds,atoms,smarts,contribute,composed
OCCOH,47,C2H5O2,100,2.1226,1.904,,,{'single': 3},"{'C': 2, 'H': 5, 'O': 2}",[CX4;H2]([OX2;H1])[CX4;H2][OX2;H0],"{""C2H5O2"": 1, ""OH"": -1, ""CH2"": -1, ""CH2O"": -1}",y
OCCOH,47,C2H4O2,101,1.8952,1.592,,,{'single': 3},"{'C': 2, 'H': 4, 'O': 2}",[CX4;H1]([OX2;H1])[CX4;H2][OX2;H0],"{""C2H4O2"": 1, ""OH"": -1, ""CHO"": -1, ""CH2"": -1}",y
CH2S,48,CH3S,102,1.613,1.368,,,{'single': 1},"{'C': 1, 'H': 3, 'S': 1}",[CX4;H3][SX2],"{""CH3S"": 1, ""CH3"": -1}",n
CH2S,48,CH2S,103,1.3863,1.06,,,{'single': 1},"{'C': 1, 'H': 2, 'S': 1}",[CX4;H2][SX2],"{""CH2S"": 1, ""CH2"": -1}",n
CH2S,48,CHS,104,1.1589,0.748,,,{'single': 1},"{'C': 1, 'H': 1, 'S': 1}","[CX4,CX3,CX2;H1][S]","{""CHS"": 1, ""CH"": -1}",n
MORPH,49,MORPH,105,3.474,2.796,,,{'single': 6},"{'C': 4, 'H': 9, 'O': 1, 'N': 1}",[CX4;H2]1[CX4;H2][OX2;H0][CX4;H2][CX4;H2][NX3;H1]1,"{""MORPH"": 1, ""CH2"": -2, ""CH2O"": -1, ""CH2NH"": -1}",n
THIOPHEN,50,C4H4S,106,2.8569,2.14,,,{'aromatic': 5},"{'C': 4, 'H': 4, 'S': 1}",[cX3;H1]1[cX3;H1][cX3;H1][sX2;H0][cX3;H1]1,"{""C4H4S"": 1, ""ACH"": -4}",n
NCO,51,NCO,109,1.0567,0.732,,,{'double': 2},"{'C': 1, 'N': 1, 'O': 1}",[NX2H0]=[CX2H0]=[OX1H0],"{""NCO"": 1}",n
SULFONES,55,(CH2)2SU,118,2.6869,2.12,,,"{'single': 2, 'double': 2}","{'S': 1, 'O': 2, 'H': 4, 'C': 2}",[CX4;H2][SX4](=O)(=O)[CX4;H2],"{""(CH2)2SU"": 1, ""CH2"": -1, ""CH2S"": -1}",n
SULFONES,55,CH2CHSU,119,2.4595,1.808,,,"{'single': 2, 'double': 2}","{'S': 1, 'O': 2, 'H': 3, 'C': 2}",[CX4;H2][SX4](=O)(=O)[CX4;H1],"{""CH2CHSU"": 1, ""CH"": -1, ""CH2S"": -1}",n
PYRIDINE,18,C5H5N,37,2.9993,2.113,1.4578,0.9022,"{'single': 0, 'aromatic': 6}","{'N': 1, 'C': 5, 'H': 5}",[cX3;H1]1:[cX3;H1]:[cX3;H1]:[nX2;H0]:[cX3;H1]:[cX3;H1]:1,"{""C5H5N"": 1, ""ACH"": -5}",n
IMIDAZOL,84,IMIDAZOL,178,2.026,0.868,,,{'aromatic': 5},"{'C': 3, 'N': 2, 'H': 3}",[c]1:[c]:[n]:[c]:[n]:1,"{""IMIDAZOL"": 1, ""ACH"": -3}",n
BTI,85,BTI,179,5.774,4.932,,,"{'double': 4, 'single': 4}","{'C': 2, 'O': 4, 'F': 6, 'S': 2, 'N': 1}",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"{""BTI"": 1, ""CF3"": -2}",n
CON(AM),46,AMHCH,180,1.7369,1.18,,,"{'single': 2, 'double': 1}","{'C': 2, 'O': 1, 'N': 1, 'H': 2}",[CX3;H0](=[OX1])[NX3;H1][CX4;H1],"{""AMHCH"": 1, ""CH"": -1}",n
CON(AM),46,AM(CH)2,181,1.9519,1.196,,,"{'single': 3, 'double': 1}","{'C': 2, 'O': 1, 'N': 1, 'H': 2}",[CX3;H0](=[OX1])[NX3;H0]([CX4;H1])[CX4;H1],"{""AM(CH)2"": 1, ""CH"": -2}",n
CON(AM),46,AMCHCH2,182,2.1786,1.504,,,"{'single': 3, 'double': 1}","{'C': 2, 'O': 1, 'N': 1, 'H': 3}",[CX3;H0](=[OX1])[NX3;H0]([CX4;H2])[CX4;H1],"{""AMCHCH2"": 1, ""CH"": -1,  ""CH2N"": -1}",n
CON(AM),46,AMCHCH3,183,2.4054,1.812,,,"{'single': 3, 'double': 1}","{'C': 2, 'O': 1, 'N': 1, 'H': 4}",[CX3;H0](=[OX1])[NX3;H0]([CX4;H1])[CX4;H3],"{""AMCHCH3"": 1, ""CH"": -1, ""CH3N"": -1}",n
ACS,50,AC2H2S,187,,,0.912,1.0199,"{'aromatic': 1, 'single': 1}","{'C': 2, 'H': 2, 'S': 2}",[cH1;R][sH0;R][cH1;R],"{""AC2H2S"": 1, ""ACCH"": -2}",n
